M,A,B,C,cas,casSeconds,casIS,pocetNezObj,pocetNezObjIS,vytA,vytAIS,vytB,vytBIS,vytC,vytCIS
54,5,5,38,50:28:29,181709.47067791942,<176732.2164;186686.7249>,79.6,<76.7713;82.4313>,98.23,<98.1941;98.2741>,93.57,<93.5189;93.6126>,96.45,<96.4113;96.4958>
57,7,5,36,61:12:23,220343.6046441563,<214791.1278;225896.0815>,98.7,<95.5354;101.8741>,76.5,<76.4556;76.5364>,92.64,<92.5911;92.679>,99.43,<99.3969;99.463>
50,6,5,37,65:06:52,234412.79049723377,<228883.5298;239942.0512>,108.88,<105.7146;112.0355>,85.85,<85.8157;85.8842>,92.16,<92.128;92.1989>,96.79,<96.7587;96.8193>
59,5,5,35,92:41:26,333686.04811618,<327612.2066;339759.8897>,162.51,<159.0017;166.0253>,97.81,<97.78;97.8401>,89.38,<89.344;89.4151>,99.52,<99.5013;99.5382>
50,5,7,47,45:38:54,164334.05685155877,<159007.1141;169660.9996>,70.91,<67.87;73.9409>,95.93,<95.8847;95.9714>,67.35,<67.3165;67.3899>,78.94,<78.8987;78.9846>
57,5,5,36,74:53:04,269584.5351642927,<263927.5886;275241.4817>,128.03,<124.778;131.2745>,98.67,<98.6402;98.6974>,91.34,<91.3007;91.3748>,99.07,<99.0484;99.0956>
51,6,5,39,47:20:18,170418.99474385235,<165531.8964;175306.0931>,73.41,<70.628;76.1926>,86.83,<86.7816;86.872>,94.15,<94.0995;94.1906>,93.93,<93.8884;93.9756>
57,5,5,37,58:20:00,210000.91953254252,<204694.8186;215307.0205>,95.16,<92.1332;98.1952>,99.04,<99.0051;99.0732>,92.99,<92.9533;93.0309>,98.29,<98.2556;98.3221>
54,5,6,35,94:46:48,341208.96032292786,<335445.0119;346972.9088>,168.17,<164.8634;171.4773>,97.36,<97.3283;97.3887>,74.37,<74.3443;74.4055>,99.4,<99.3767;99.4143>
49,6,5,49,60:00:00,216000.4864702056,<210585.6671;221415.3059>,99.15,<96.0583;102.2421>,85.18,<85.1485;85.2183>,92.61,<92.5727;92.6463>,73.59,<73.5621;73.6231>
58,6,7,36,64:13:22,231202.10862513725,<225674.9642;236729.2531>,104.72,<101.5694;107.8793>,86.79,<86.7465;86.8292>,65.93,<65.8984;65.9605>,99.47,<99.4398;99.5005>
57,7,6,35,86:15:19,310519.12329405133,<304654.8085;316383.438>,148.26,<144.8986;151.6244>,74.29,<74.2625;74.3254>,75.12,<75.0866;75.1504>,99.62,<99.5993;99.6373>
51,5,7,44,37:02:16,133336.68034007328,<129007.3292;137666.0315>,53.65,<51.1894;56.1158>,96.45,<96.3846;96.5104>,67.96,<67.9101;68.0182>,85.09,<85.0221;85.1561>
